submission_id,age,comments,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,itemNr,justification,languages,prolific_pid,prolific_session_id,prolific_study_id,responseType,reproduction,response,responseTime,trialNR
2671,32,,association,Graduated College,143213,1769686984974,1769686841761,male,spaceColony,1,NA,English,601a7edfb0701c2b958b1b19,697b47309651ac0583dc10a5,697b44eea7fa84c2ff0761b4,,NA,both xeliherb and ralocrop,41358,0
2671,32,,association,Graduated College,143213,1769686984974,1769686841761,male,spaceColony,1,Because it brings more yield of xeliherb ,English,601a7edfb0701c2b958b1b19,697b47309651ac0583dc10a5,697b44eea7fa84c2ff0761b4,,NA,NA,12932,1
2671,32,,association,Graduated College,143213,1769686984974,1769686841761,male,spaceColony,1,NA,English,601a7edfb0701c2b958b1b19,697b47309651ac0583dc10a5,697b44eea7fa84c2ff0761b4,Neutral,A higher yield of xeliherb is available with the presence of ralocrop.,NA,70708,2
2672,52,Interesting. Thank you.,association,Higher degree,193093,1769687039338,1769686846245,male,spaceColony,1,NA,English,563f734bcbd4c60005dc9442,697b472bf8be282ac40b2703,697b44eea7fa84c2ff0761b4,,NA,both xeliherb and ralocrop,41044,0
2672,52,Interesting. Thank you.,association,Higher degree,193093,1769687039338,1769686846245,male,spaceColony,1,"I would cultivate H because it is vital for survival. I would cultivate the R that is present. If humans can also consume this great but I would attempt to reduce the area of land it covers and plant more H in its place. Having both H and R is a safeguard in case one of the crops fails or gets a disease, etc.",English,563f734bcbd4c60005dc9442,697b472bf8be282ac40b2703,697b44eea7fa84c2ff0761b4,,NA,NA,87396,1
2672,52,Interesting. Thank you.,association,Higher degree,193093,1769687039338,1769686846245,male,spaceColony,1,NA,English,563f734bcbd4c60005dc9442,697b472bf8be282ac40b2703,697b44eea7fa84c2ff0761b4,None,They said H is present and you can collect seeds and also added that R is also present with the H.,NA,43465,2
2673,30,,association,Graduated College,160467,1769687094085,1769686933618,female,spaceColony,1,NA,English,5ef7833b93b67f096e7b2548,697b472658e5aa5257909809,697b44eea7fa84c2ff0761b4,,NA,both xeliherb and ralocrop,81751,0
2673,30,,association,Graduated College,160467,1769687094085,1769686933618,female,spaceColony,1,Because of the impact of ralocrop on having high amounts of xeliherb too,English,5ef7833b93b67f096e7b2548,697b472658e5aa5257909809,697b44eea7fa84c2ff0761b4,,NA,NA,27358,1
2673,30,,association,Graduated College,160467,1769687094085,1769686933618,female,spaceColony,1,NA,English,5ef7833b93b67f096e7b2548,697b472658e5aa5257909809,697b44eea7fa84c2ff0761b4,Neutral,Ralocrop is associated with high amounts of xeliherb,NA,33744,2
2674,30,,association,Graduated College,71295,1769687176039,1769687104744,female,spaceColony,1,NA,english,5ef7833b93b67f096e7b2548,697b472658e5aa5257909809,697b44eea7fa84c2ff0761b4,,NA,both xeliherb and ralocrop,18340,0
